Standard,Gent,3,2
Kortrijk,Anderlecht,1,4
Oostende,Mouscron,2,1
St Truiden,Cercle Brugge,0,0
Waregem,Waasland-Beveren,2,2
Charleroi,Antwerp,0,1
Club Brugge,Eupen,5,2
Lokeren,Genk,0,4
Waasland-Beveren,Standard,0,0
Antwerp,Kortrijk,0,0
Cercle Brugge,Lokeren,3,2
Eupen,Charleroi,1,4
Gent,Waregem,1,1
Anderlecht,Oostende,5,2
Genk,St Truiden,1,1
Mouscron,Club Brugge,0,1
Club Brugge,Kortrijk,3,0
Mouscron,Antwerp,0,1
St Truiden,Lokeren,1,1
Standard,Cercle Brugge,0,0
Waregem,Eupen,4,0
Charleroi,Anderlecht,1,2
Gent,Waasland-Beveren,4,1
Oostende,Genk,0,2
Anderlecht,Mouscron,2,0
Cercle Brugge,Waregem,3,1
Kortrijk,Oostende,1,2
Lokeren,Standard,0,3
Waasland-Beveren,St Truiden,2,2
Antwerp,Club Brugge,1,1
Eupen,Gent,2,3
Genk,Charleroi,3,1
Oostende,Waregem,3,1
Antwerp,Cercle Brugge,1,0
Charleroi,Kortrijk,0,2
Mouscron,Eupen,0,1
Standard,St Truiden,3,2
Club Brugge,Anderlecht,2,1
Genk,Waasland-Beveren,3,2
Gent,Lokeren,2,1
Waregem,Club Brugge,2,5
Charleroi,Mouscron,3,1
Eupen,Standard,2,1
Lokeren,Waasland-Beveren,1,0
St Truiden,Oostende,1,0
Anderlecht,Antwerp,1,1
Cercle Brugge,Gent,0,3
Kortrijk,Genk,3,3
Club Brugge,Lokeren,2,1
Genk,Anderlecht,1,0
Oostende,Cercle Brugge,1,1
Standard,Charleroi,0,0
Waasland-Beveren,Eupen,0,0
Antwerp,Waregem,5,1
Gent,St Truiden,1,2
Mouscron,Kortrijk,1,0
Waregem,Kortrijk,0,2
Eupen,Oostende,1,2
Lokeren,Mouscron,0,0
St Truiden,Antwerp,2,0
Waasland-Beveren,Charleroi,1,1
Anderlecht,Standard,2,1
Cercle Brugge,Genk,2,5
Gent,Club Brugge,0,4
Kortrijk,Eupen,1,3
Charleroi,Lokeren,2,1
Club Brugge,Cercle Brugge,4,0
Genk,Waregem,4,0
Mouscron,Waasland-Beveren,0,3
Anderlecht,St Truiden,0,0
Antwerp,Gent,2,2
Oostende,Standard,1,3
